country,year,cancer_type,cases
South Korea (KCCR),2011,Other,441
South Korea (KCCR),2012,Other,365
South Korea (KCCR),2013,Other,392
South Korea (KCCR),2014,Other,443
South Korea (KCCR),2015,Other,416
South Korea (KCCR),2016,Other,393
South Korea (KCCR),2017,Other,494
South Korea (KCCR),2018,Other,482
South Korea (KCCR),2019,Other,491
South Korea (KCCR),2020,Other,462
